idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
0,23,11,19,23,22,8,3,5,7,2,1,0.0,0.0,12.915480613708496,12.448094367980957,13.490971137432911,12.969532752706934,744673,107.24572277069092,12754.777,307.5948261216559,1e-05
1,18,6,7,10,13,16,12,4,1,3,2,0.0,0.0,13.226896286010742,13.184868812561035,15.058247454116502,14.12155813333877,456813,110.75486636161804,3775.0544,321.4307081274525,1e-05
2,14,7,19,18,25,16,15,8,16,1,2,0.0,0.0,12.880340576171875,12.68425464630127,13.084703889045787,12.884479267673528,1053045,133.7526571750641,11239.527,331.5098909747328,1e-05
3,12,6,10,7,17,17,8,5,14,2,3,0.0,0.0,12.681556701660156,12.577922821044922,14.062221624368956,13.320072222706939,720013,150.24569082260132,8429.24,313.08965831489894,1e-05
4,20,21,7,20,24,18,3,10,4,3,2,0.0,0.0,13.565130233764648,12.457088470458984,13.804056414353953,13.130572442406468,1103633,240.09573364257812,9072.611,434.44583264273876,1e-05
5,16,22,19,10,7,12,9,2,10,2,1,0.0,0.0,12.997486114501953,12.805665969848633,14.33065389527215,13.568159932560391,912185,78.84567642211914,9965.342,290.0172464030655,1e-05
6,19,22,7,13,18,11,6,7,16,2,2,0.0,0.0,13.526266098022461,12.632442474365234,13.996149764160796,13.314296119263016,1646877,139.97531151771545,8387.389,396.36019376881427,1e-05
7,15,6,20,23,24,10,10,6,2,3,2,0.0,0.0,12.664636611938477,12.9981050491333,14.30774405404864,13.65292455159097,784185,255.7119710445404,6503.893,280.3957722340793,1e-05
8,24,25,21,22,22,12,11,6,11,3,3,0.0,0.0,12.74675178527832,12.149020195007324,14.448498482763032,13.298759338885178,4275553,151.80527257919312,19121.086,296.9645919813471,1e-05
9,13,20,7,25,25,25,5,15,3,1,1,0.0,0.0,13.021950721740723,13.41598892211914,14.78158974786948,14.098789334994311,328525,81.25590252876282,1934.7504,309.6960681363246,1e-05
10,16,10,17,11,25,25,2,15,7,3,3,0.0,0.0,12.825580596923828,12.978589057922363,18.80796205026132,15.893275554091842,1388381,232.57093334197998,8461.811,328.2987734765699,1e-05
11,21,6,20,6,9,22,15,14,8,1,2,0.0,0.0,12.9360990524292,12.599278450012207,13.711427163104622,13.155352806558415,1114329,121.0574197769165,14045.721,338.6153206761505,1e-05
12,23,9,18,9,12,15,1,8,15,3,3,0.0,0.0,12.700153350830078,12.285391807556152,12.816742251696699,12.551067029626426,2416905,221.82909679412842,17760.266,314.84644830957745,1e-05
13,22,16,24,12,15,20,12,10,4,2,1,0.0,0.0,12.836073875427246,12.461671829223633,13.485085289854942,12.973378559539288,1526041,168.35654401779175,11035.4375,311.8862389462349,1e-05
14,22,11,8,16,19,7,14,3,10,1,2,0.0,0.0,13.332932472229004,12.659551620483398,14.17620163108775,13.417876625785574,806189,63.069626569747925,3181.504,434.84400636837637,1e-05
15,11,9,23,24,19,7,11,12,12,1,3,0.0,0.0,12.87464714050293,12.630352020263672,13.026319704028616,12.828335862146144,1097705,141.5417823791504,3620.3005,263.5094021526484,1e-05
16,21,8,6,22,15,9,6,9,15,2,3,0.0,0.0,13.09750747680664,12.7890043258667,13.550400990657705,13.169702658262203,1207317,226.76958394050598,8769.945,384.3062561496812,1e-05
17,25,18,25,11,23,11,1,16,2,1,2,0.0,0.0,13.481546401977539,12.66223430633545,14.710933917578483,13.686584111956966,915325,107.29203510284424,8893.529,384.25628986012316,1e-05
18,7,14,21,7,7,25,13,6,4,2,2,0.0,0.0,13.88994312286377,13.55933666229248,21.02821381910993,17.293775240701205,444309,159.24227213859558,6398.8184,419.99759947887344,1e-05
19,9,8,23,8,17,15,13,13,8,3,2,0.0,0.0,13.521255493164062,12.291618347167969,13.451580086009036,12.871599216588503,1017169,448.3740677833557,10515.541,370.5491497142442,1e-05
20,9,13,18,9,8,10,12,1,5,1,2,0.0,0.0,13.296417236328125,13.244851112365723,14.289480259924224,13.767165686144974,309137,74.76904582977295,5222.2993,321.3174410355662,1e-05
