idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
11,21,6,20,6,9,22,15,14,8,1,2,0.0,0.0,17.517024993896484,18.648479461669922,20.624051587120178,19.63626552439505,1116009,734.2185297012329,13264.329,1257.37378510289,1e-05
12,23,9,18,9,12,15,1,8,15,3,3,0.0,0.0,16.47749137878418,16.651138305664062,18.476928658733755,17.56403348219891,2418745,1906.8717641830444,17235.27,1235.069839331303,1e-05
13,22,16,24,12,15,20,12,10,4,2,1,0.0,0.0,17.669910430908203,18.46459197998047,19.8941279506505,19.179359965315484,1527801,697.5224208831787,7447.582,1356.4008105007242,1e-05
14,22,11,8,16,19,7,14,3,10,1,2,0.0,0.0,17.50477409362793,17.980087280273438,20.49826042395766,19.23917385211555,807949,355.17084288597107,1905.0519,1200.7108103846622,1e-05
15,11,9,23,24,19,7,11,12,12,1,3,0.0,0.0,19.293153762817383,19.84564208984375,22.85383670991467,21.349739399879212,1098585,303.4273066520691,1502.3748,1692.8929525337098,1e-05
16,21,8,6,22,15,9,6,9,15,2,3,0.0,0.0,19.140438079833984,19.000686645507812,21.815172987922676,20.407929816715246,1208997,814.3280251026154,9452.017,1862.9394383603274,1e-05
17,25,18,25,11,23,11,1,16,2,1,2,0.0,0.0,19.117835998535156,18.27577781677246,22.257570742606877,20.266674279689667,917325,968.516031742096,8381.549,1632.3539947372724,1e-05
18,7,14,21,7,7,25,13,6,4,2,2,0.0,0.0,22.788076400756836,21.556108474731445,28.13369219824405,24.844900336487747,444869,538.7091732025146,4696.9443,2758.6969073840964,1e-05
19,9,8,23,8,17,15,13,13,8,3,2,0.0,0.0,19.51340103149414,20.780241012573242,22.832903473188452,21.806572242880847,1017889,1632.4994609355927,7360.6123,1789.9015235743059,1e-05
20,9,13,18,9,8,10,12,1,5,1,2,0.0,0.0,18.599992752075195,19.277400970458984,24.05568326631999,21.666542118389486,309857,288.74397563934326,3921.0198,1465.3758612600332,1e-05
