idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
0,23,11,19,23,22,8,3,5,7,2,1,0.0,0.0,22.767641067504883,20.58912467956543,22.06645104309608,21.327787861330755,746513,672.5661342144012,11938.47,4261.483820983652,1e-05
1,18,6,7,10,13,16,12,4,1,3,2,0.0,0.0,22.922269821166992,21.392974853515625,22.943393357538305,22.168184105526965,458253,1392.9391539096832,2994.1436,11176.367660413622,1e-05
2,14,7,19,18,25,16,15,8,16,1,2,0.0,0.0,22.77407455444336,19.778470993041992,21.16183515662411,20.47015307483305,1054165,802.2687652111053,8938.812,4035.0665993636876,1e-05
3,12,6,10,7,17,17,8,5,14,2,3,0.0,0.0,21.82487678527832,20.91474151611328,21.964721923879555,21.439731719996416,720973,879.0721175670624,7967.4707,2733.7046835836354,1e-05
4,20,21,7,20,24,18,3,10,4,3,2,0.0,0.0,21.084503173828125,19.099308013916016,20.68518570024051,19.892246857078263,1105233,2199.7023589611053,7108.4683,4061.1605158226057,1e-05
5,16,22,19,10,7,12,9,2,10,2,1,0.0,0.0,20.954248428344727,19.878799438476562,21.125025423537465,20.501912431007014,913465,769.3538150787354,9590.569,2640.108098790534,1e-05
6,19,22,7,13,18,11,6,7,16,2,2,0.0,0.0,21.37108612060547,19.481075286865234,20.11334139748335,19.797208342174294,1648397,1680.873502254486,7389.814,7081.251891411957,1e-05
7,15,6,20,23,24,10,10,6,2,3,2,0.0,0.0,24.584871292114258,21.141176223754883,22.854833369977197,21.99800479686604,785385,1544.833647966385,6795.901,18475.054305285656,1e-05
8,24,25,21,22,22,12,11,6,11,3,3,0.0,0.0,20.963523864746094,19.03772735595703,19.10638984027696,19.072058598116996,4277473,2443.559644460678,16129.605,3024.6816185098432,1e-05
9,13,20,7,25,25,25,5,15,3,1,1,0.0,0.0,23.122713088989258,21.053150177001953,22.292964164646193,21.673057170824073,329565,732.3073923587799,568.18176,3644.2864330092543,1e-05
10,16,10,17,11,25,25,2,15,7,3,3,0.0,0.0,21.775829315185547,20.708370208740234,22.129750069771852,21.419060139256043,1389661,2056.917896270752,9511.407,3104.738768245364,1e-05
11,21,6,20,6,9,22,15,14,8,1,2,0.0,0.0,21.420595169067383,20.147249221801758,21.396206827388703,20.77172802459523,1116009,945.5492358207703,13345.102,2496.621116528474,1e-05
12,23,9,18,9,12,15,1,8,15,3,3,0.0,0.0,19.6999454498291,17.93599510192871,18.86880842893095,18.40240176542983,2418745,2316.9122262001038,17590.23,3240.0824500470335,1e-05
13,22,16,24,12,15,20,12,10,4,2,1,0.0,0.0,20.466535568237305,19.652406692504883,20.233776619957233,19.943091656231058,1527801,1464.1892733573914,8920.754,2578.00695909601,1e-05
14,22,11,8,16,19,7,14,3,10,1,2,0.0,0.0,22.559017181396484,20.47566795349121,21.382747684676072,20.929207819083643,807949,619.4568228721619,3909.2266,3612.4108801199254,1e-05
15,11,9,23,24,19,7,11,12,12,1,3,0.0,0.0,23.54083251953125,20.970218658447266,21.37432868287855,21.172273670662907,1098585,816.3840441703796,1068.645,10998.877485099276,1e-05
16,21,8,6,22,15,9,6,9,15,2,3,0.0,0.0,21.177026748657227,19.878026962280273,21.21158102065908,20.544803991469678,1208997,1400.9669713974,9685.717,2612.509272046653,1e-05
17,25,18,25,11,23,11,1,16,2,1,2,0.0,0.0,23.24773406982422,20.729951858520508,22.3378291629453,21.533890510732903,917325,1224.012957572937,8495.103,6357.624742426376,1e-05
18,7,14,21,7,7,25,13,6,4,2,2,0.0,0.0,23.553804397583008,22.501384735107422,24.0620380236527,23.281711379380063,444869,1332.635022163391,4787.127,4474.629884883418,1e-05
19,9,8,23,8,17,15,13,13,8,3,2,0.0,0.0,22.27198028564453,20.913118362426758,21.541847377306098,21.227482869866428,1017889,2717.1047484874725,8379.658,3136.76475383504,1e-05
20,9,13,18,9,8,10,12,1,5,1,2,0.0,0.0,23.37721061706543,21.561735153198242,23.516667751324213,22.539201452261228,309857,336.2281656265259,4052.6729,4948.297944544927,1e-05
