idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
0,23,11,19,23,22,8,3,5,7,2,1,0.0,0.0,12.521960258483887,11.084443092346191,13.348938316065114,12.216690704205654,744673,196.53738451004028,12574.451,291.361998846274,1e-05
1,18,6,7,10,13,16,12,4,1,3,2,0.0,0.0,12.829262733459473,11.514482498168945,14.066576198136037,12.790529348152491,456813,253.54472088813782,4203.622,294.85179955594134,1e-05
2,14,7,19,18,25,16,15,8,16,1,2,0.0,0.0,11.610536575317383,10.095243453979492,11.93763732345852,11.016440388719005,1053045,249.65171885490417,10324.828,258.0387849897824,1e-05
3,12,6,10,7,17,17,8,5,14,2,3,0.0,0.0,12.660608291625977,11.060306549072266,13.62138015256895,12.340843350820608,720013,246.83754754066467,8853.573,286.64410904996816,1e-05
4,20,21,7,20,24,18,3,10,4,3,2,0.0,0.0,12.839056968688965,10.909146308898926,13.2846773829117,12.096911845905314,1103633,380.90912103652954,8303.845,314.06924091154013,1e-05
5,16,22,19,10,7,12,9,2,10,2,1,0.0,0.0,11.612177848815918,10.630258560180664,12.501847570370405,11.566053065275534,912185,207.42331075668335,10451.639,233.99502070101985,1e-05
6,19,22,7,13,18,11,6,7,16,2,2,0.0,0.0,11.502678871154785,10.38925838470459,12.076998418718427,11.233128401711507,1646877,283.4269332885742,8095.2607,224.75317810793686,1e-05
7,15,6,20,23,24,10,10,6,2,3,2,0.0,0.0,11.971545219421387,10.92299747467041,13.374518207604867,12.148757841137638,784185,319.4488205909729,6897.391,241.48250354291264,1e-05
8,24,25,21,22,22,12,11,6,11,3,3,0.0,0.0,11.3922700881958,10.13151741027832,11.55033134501394,10.84092437764613,4275553,512.0497705936432,19718.756,226.9773954502915,1e-05
9,13,20,7,25,25,25,5,15,3,1,1,0.0,0.0,13.290190696716309,11.270061492919922,13.762638225534756,12.51634985922734,328525,123.03775525093079,1202.1575,347.7008705298337,1e-05
